;tweet_id;label;task;task_num;event
357;'768437195543814144';0;before;1;creamfields
359;'766246093206253568';0;before;1;creamfields
360;'766972039286710272';0;before;1;creamfields
362;'766702148881121281';0;before;1;creamfields
363;'767313390406696961';1;before;1;creamfields
364;'764848026880008192';0;before;1;creamfields
365;'768547291510734849';0;before;1;creamfields
366;'768477226383904769';1;before;1;creamfields
367;'768516353309417473';0;before;1;creamfields
369;'768095242209878016';1;before;1;creamfields
370;'764909922400296960';0;before;1;creamfields
373;'767415892665925638';0;before;1;creamfields
374;'768152161993842688';1;before;1;creamfields
375;'766067791929741312';1;before;1;creamfields
376;'765640470647169025';0;before;1;creamfields
379;'767812827172265984';1;before;1;creamfields
381;'768174148971532288';1;before;1;creamfields
383;'765934539990523905';0;before;1;creamfields
385;'767627354508255236';1;before;1;creamfields
386;'767786844591357952';1;before;1;creamfields
387;'767833196373442560';0;before;1;creamfields
388;'766716599311142916';1;before;1;creamfields
390;'765287802103824388';0;before;1;creamfields
391;'768130703041101824';1;before;1;creamfields
392;'765840307980210176';1;before;1;creamfields
393;'765902102682009600';0;before;1;creamfields
394;'768546962236968961';1;before;1;creamfields
395;'768072617534390272';0;before;1;creamfields
397;'766712784847536128';0;before;1;creamfields
399;'766570753634566144';1;before;1;creamfields
401;'768522067989958656';0;before;1;creamfields
402;'767791585945845760';1;before;1;creamfields
403;'768534384462950401';1;before;1;creamfields
404;'767701782994808833';0;before;1;creamfields
405;'767430286959337472';1;before;1;creamfields
412;'765256463782645760';1;before;1;creamfields
413;'767821123174166528';0;before;1;creamfields
418;'765284379606278144';0;before;1;creamfields
420;'767424352736378880';1;before;1;creamfields
421;'767624816363003904';1;before;1;creamfields
422;'766390021708455936';1;before;1;creamfields
423;'766714305098153984';0;before;1;creamfields
426;'767684449853145088';0;before;1;creamfields
427;'768553788525477889';1;before;1;creamfields
428;'765990746327511044';0;before;1;creamfields
429;'767628698963025920';1;before;1;creamfields
430;'766962788388466688';1;before;1;creamfields
432;'768457766960758784';1;before;1;creamfields
433;'768128331476795392';1;before;1;creamfields
434;'768446358223200256';1;before;1;creamfields
435;'767647478581694464';1;before;1;creamfields
438;'768119217073885184';0;before;1;creamfields
440;'766658780327251968';1;before;1;creamfields
445;'766186923757039616';0;before;1;creamfields
450;'765262696661016577';1;before;1;creamfields
452;'767046235945627653';1;before;1;creamfields
458;'768425280998404097';1;before;1;creamfields
461;'768075385108127744';0;before;1;creamfields
465;'766944234008092672';0;before;1;creamfields
472;'767697895818665984';0;before;1;creamfields
475;'765828496954429440';0;before;1;creamfields
476;'768545274365181952';1;before;1;creamfields
477;'767754988135321600';1;before;1;creamfields
479;'767308900127350784';0;before;1;creamfields
480;'766723878144049152';0;before;1;creamfields
481;'765666917688471553';1;before;1;creamfields
482;'768081497849008128';1;before;1;creamfields
484;'767805582531293184';1;before;1;creamfields
486;'766592382775226368';0;before;1;creamfields
487;'767689657731735552';1;before;1;creamfields
491;'768168967332569089';1;before;1;creamfields
492;'767659489822646272';0;before;1;creamfields
494;'768175592105738240';0;before;1;creamfields
495;'768166147174699008';0;before;1;creamfields
498;'764956749052936193';1;before;1;creamfields
499;'768049997086650368';0;before;1;creamfields
501;'765981954579857409';1;before;1;creamfields
507;'768126563107864576';1;before;1;creamfields
509;'765865042214551552';0;before;1;creamfields
512;'768549439564812288';1;before;1;creamfields
513;'766571886029447169';1;before;1;creamfields
514;'766586549186203648';1;before;1;creamfields
515;'768526865854296064';1;before;1;creamfields
523;'768255058576375809';1;before;1;creamfields
525;'768411023657332736';0;before;1;creamfields
528;'766169633409888257';1;before;1;creamfields
529;'768208045100900352';0;before;1;creamfields
531;'768394357250592768';0;before;1;creamfields
532;'765981110631272448';0;before;1;creamfields
533;'766079986683961344';0;before;1;creamfields
534;'768164536624918529';0;before;1;creamfields
538;'766195806529589248';1;before;1;creamfields
539;'767770132898799617';1;before;1;creamfields
540;'767674757483487232';1;before;1;creamfields
542;'767085469091987456';0;before;1;creamfields
549;'764908926294958080';1;before;1;creamfields
556;'767803342139617281';0;before;1;creamfields
558;'767439772063236097';1;before;1;creamfields
559;'766589892767940612';0;before;1;creamfields
560;'768056329923624961';0;before;1;creamfields
561;'766979373937283073';0;before;1;creamfields
563;'766223703793434624';0;before;1;creamfields
565;'766437979145601024';1;before;1;creamfields
566;'765840189172412416';0;before;1;creamfields
571;'768532166552739841';0;before;1;creamfields
572;'765882550506119168';0;before;1;creamfields
574;'766214062359339008';1;before;1;creamfields
579;'768136801089355776';1;before;1;creamfields
580;'765591495206440964';1;before;1;creamfields
582;'767777719123869697';0;before;1;creamfields
583;'768525050454614016';1;before;1;creamfields
584;'764902495994908672';1;before;1;creamfields
585;'766014629457920000';0;before;1;creamfields
587;'768546193093890049';0;before;1;creamfields
589;'768183715981844480';1;before;1;creamfields
593;'766243039933304832';1;before;1;creamfields
594;'766349025696182273';1;before;1;creamfields
596;'766709582110584835';0;before;1;creamfields
598;'766780755875864577';0;before;1;creamfields
600;'767765258383523840';0;before;1;creamfields
601;'768498016089214976';0;before;1;creamfields
602;'768109574889037824';1;before;1;creamfields
606;'765641304067932161';0;before;1;creamfields
607;'767034635381575681';0;before;1;creamfields
609;'768237866459815936';0;before;1;creamfields
611;'768469553663864832';0;before;1;creamfields
613;'766192239374663681';1;before;1;creamfields
614;'768102993526939648';1;before;1;creamfields
618;'767751982547365888';1;before;1;creamfields
621;'767390672122970112';0;before;1;creamfields
622;'766739226004185088';1;before;1;creamfields
623;'768198303565553664';0;before;1;creamfields
624;'768536358927368192';1;before;1;creamfields
627;'768189649080680448';1;before;1;creamfields
628;'725822172518830080';1;before;1;creamfields
629;'768143894345347073';0;before;1;creamfields
634;'768179977804255232';1;before;1;creamfields
635;'764895247142940674';1;before;1;creamfields
637;'765303071593431040';1;before;1;creamfields
642;'742607163353370625';1;before;1;creamfields
644;'765633382168625152';1;before;1;creamfields
648;'768072979544731649';0;before;1;creamfields
650;'767462909211451397';1;before;1;creamfields
653;'766625112988774401';0;before;1;creamfields
655;'765593280339972097';0;before;1;creamfields
656;'764909244089004033';1;before;1;creamfields
657;'768082981605019648';0;before;1;creamfields
659;'765277888765685760';0;before;1;creamfields
662;'765636277475667968';0;before;1;creamfields
664;'765157510034718720';0;before;1;creamfields
667;'768559149462552578';0;before;1;creamfields
670;'765866729012465665';0;before;1;creamfields
673;'764917534571302913';1;before;1;creamfields
674;'766638379735846912';1;before;1;creamfields
677;'767786470379819008';1;before;1;creamfields
678;'765992994717765632';0;before;1;creamfields
679;'766601245536690176';0;before;1;creamfields
680;'765883353476263936';1;before;1;creamfields
688;'767720042507231232';0;before;1;creamfields
689;'767148842294861824';1;before;1;creamfields
692;'768533992228392964';1;before;1;creamfields
694;'767720883532300292';0;before;1;creamfields
695;'767839932253700096';1;before;1;creamfields
696;'767007809775034369';0;before;1;creamfields
698;'768053704423505920';1;before;1;creamfields
699;'767308530063925252';0;before;1;creamfields
701;'767427770431471616';0;before;1;creamfields
703;'767362060678234112';0;before;1;creamfields
704;'766750995191914496';0;before;1;creamfields
705;'767667020619980800';0;before;1;creamfields
707;'766727590858072064';1;before;1;creamfields
709;'766020440477331460';1;before;1;creamfields
712;'768211667637379072';1;before;1;creamfields
715;'765803647351549952';1;before;1;creamfields
716;'768499776665026560';0;before;1;creamfields
717;'765541893883256833';1;before;1;creamfields
718;'765497871235940356';0;before;1;creamfields
719;'766903230416752640';0;before;1;creamfields
723;'767344804590215168';1;before;1;creamfields
724;'766724658439872513';0;before;1;creamfields
726;'768405810175176704';0;before;1;creamfields
729;'767406657181667328';1;before;1;creamfields
730;'766226501159227392';1;before;1;creamfields
732;'767011220230664192';1;before;1;creamfields
733;'768203343260950528';1;before;1;creamfields
735;'768193924766765056';1;before;1;creamfields
736;'734843763227545600';1;before;1;creamfields
737;'768065425657692161';0;before;1;creamfields
738;'765872761847832577';1;before;1;creamfields
739;'743751554641985541';1;before;1;creamfields
742;'768525063809294336';1;before;1;creamfields
746;'767827913186172928';0;before;1;creamfields
747;'766660937344483329';0;before;1;creamfields
749;'766953221445353472';1;before;1;creamfields
750;'768184268401049601';1;before;1;creamfields
756;'768132135198810112';1;before;1;creamfields
758;'768494343971897344';1;before;1;creamfields
760;'767825771608076289';0;before;1;creamfields
763;'767734966163763201';0;before;1;creamfields
771;'767483999367360512';1;before;1;creamfields
772;'766982615563964416';0;before;1;creamfields
773;'765215329974947840';1;before;1;creamfields
774;'767770154218430464';0;before;1;creamfields
777;'768096265674559488';0;before;1;creamfields
778;'767412525700874240';0;before;1;creamfields
779;'768152730321952770';0;before;1;creamfields
782;'768131956689240065';0;before;1;creamfields
784;'765181654818250753';0;before;1;creamfields
786;'766321596172800005';0;before;1;creamfields
787;'767677205602267137';1;before;1;creamfields
790;'766005237324902400';0;before;1;creamfields
794;'767368025091833857';1;before;1;creamfields
796;'767770607899607044';0;before;1;creamfields
797;'767804517341618177';0;before;1;creamfields
799;'764861053922672640';0;before;1;creamfields
801;'768454285571096576';0;before;1;creamfields
802;'768490290227314688';1;before;1;creamfields
805;'767046530360545281';1;before;1;creamfields
810;'765265777066901505';1;before;1;creamfields
812;'767819863612088321';1;before;1;creamfields
813;'767766980115980288';0;before;1;creamfields
820;'766311710479253504';0;before;1;creamfields
821;'768507264407834629';0;before;1;creamfields
828;'766020796120793097';0;before;1;creamfields
830;'768178623161462784';1;before;1;creamfields
831;'768422626423287809';1;before;1;creamfields
832;'767458917190365186';0;before;1;creamfields
834;'766589654309175297';1;before;1;creamfields
835;'766659010380566528';0;before;1;creamfields
837;'765672162208411649';1;before;1;creamfields
838;'766962830448979969';0;before;1;creamfields
845;'766244648524386304';1;before;1;creamfields
847;'765871223456854016';1;before;1;creamfields
848;'765296090400845826';0;before;1;creamfields
857;'766347825999380481';1;before;1;creamfields
861;'767653913600417792';1;before;1;creamfields
866;'767789011402391553';0;before;1;creamfields
869;'765191564624822272';0;before;1;creamfields
874;'768138421772685313';1;before;1;creamfields
882;'768142735903694848';0;before;1;creamfields
883;'768463954117099520';1;before;1;creamfields
889;'768525860584431616';1;before;1;creamfields
896;'766587176427614208';1;before;1;creamfields
898;'764877953134129153';0;before;1;creamfields
899;'768120794568331264';0;before;1;creamfields
902;'764955419651534848';0;before;1;creamfields
904;'765666555082539008';0;before;1;creamfields
908;'767448799677521920';1;before;1;creamfields
909;'765627886946619392';0;before;1;creamfields
910;'766248804798631936';1;before;1;creamfields
912;'768502255452622849';1;before;1;creamfields
923;'766667179492343808';1;before;1;creamfields
924;'766204907468820480';0;before;1;creamfields
928;'768113251729149952';0;before;1;creamfields
930;'766303671042838532';1;before;1;creamfields
932;'765314456222068736';1;before;1;creamfields
934;'767122189594324994';0;before;1;creamfields
936;'768449127797690368';1;before;1;creamfields
938;'768137299578220544';0;before;1;creamfields
939;'765775904182337536';1;before;1;creamfields
942;'768084892362108928';0;before;1;creamfields
947;'765201169069248512';1;before;1;creamfields
949;'767325345771089920';0;before;1;creamfields
950;'765488371674349569';1;before;1;creamfields
952;'766189888521854976';0;before;1;creamfields
955;'767622085384474624';0;before;1;creamfields
957;'765169897030778880';1;before;1;creamfields
960;'765280861407289345';1;before;1;creamfields
961;'766054499370700800';0;before;1;creamfields
963;'767680969822404608';0;before;1;creamfields
964;'766238892823572480';1;before;1;creamfields
966;'767414013013684224';0;before;1;creamfields
970;'768428670025342976';0;before;1;creamfields
971;'768556005278048256';1;before;1;creamfields
974;'768194753489956864';0;before;1;creamfields
975;'765509493627248640';1;before;1;creamfields
976;'766602475927252992';0;before;1;creamfields
977;'767488348667666436';1;before;1;creamfields
980;'768484784792334340';1;before;1;creamfields
981;'768155076087128064';0;before;1;creamfields
983;'718048687126142976';0;before;1;creamfields
985;'764935486028783616';1;before;1;creamfields
988;'767773509707792384';0;before;1;creamfields
990;'767768302143889409';0;before;1;creamfields
991;'767825417147412480';1;before;1;creamfields
992;'768054291638648832';0;before;1;creamfields
994;'768146575524847616';0;before;1;creamfields
996;'766734132198182912';1;before;1;creamfields
997;'765099850581045248';1;before;1;creamfields
0;'769183843819610112';0;during;2;creamfields
1;'769665687052775424';1;during;2;creamfields
2;'768701896777404416';1;during;2;creamfields
4;'769973153447763968';0;during;2;creamfields
6;'769180205218881537';1;during;2;creamfields
7;'769960855081451521';0;during;2;creamfields
8;'768884351425769478';0;during;2;creamfields
9;'769265241012174848';0;during;2;creamfields
10;'768586534937358336';0;during;2;creamfields
11;'768628181419032576';1;during;2;creamfields
13;'769960855081451521';0;during;2;creamfields
14;'768915691672141826';0;during;2;creamfields
15;'768727015151329284';1;during;2;creamfields
17;'769959362127364096';1;during;2;creamfields
18;'768741559324045312';0;during;2;creamfields
19;'769909298562424834';1;during;2;creamfields
20;'769622478662623232';0;during;2;creamfields
22;'769634146792640512';0;during;2;creamfields
24;'768904832354779136';0;during;2;creamfields
25;'768735224859660288';1;during;2;creamfields
27;'769500847273312256';0;during;2;creamfields
31;'769443410990264321';1;during;2;creamfields
35;'769306746070401028';0;during;2;creamfields
37;'768577327773130752';1;during;2;creamfields
38;'769586494193434624';1;during;2;creamfields
39;'769653006065340416';0;during;2;creamfields
42;'769198062736646144';0;during;2;creamfields
43;'769479724406083584';1;during;2;creamfields
44;'769474858556256256';0;during;2;creamfields
45;'768695356842475520';0;during;2;creamfields
46;'769487308982812673';1;during;2;creamfields
47;'769246968300331008';1;during;2;creamfields
49;'768923889548292098';0;during;2;creamfields
50;'769501568039280640';0;during;2;creamfields
51;'769460095541542912';1;during;2;creamfields
52;'769527751476994049';0;during;2;creamfields
53;'769463086659010566';0;during;2;creamfields
55;'769190214736699392';0;during;2;creamfields
56;'768960206365663232';0;during;2;creamfields
57;'769507069862944768';0;during;2;creamfields
58;'769260277745479680';1;during;2;creamfields
60;'768915257691627520';1;during;2;creamfields
61;'769532042103128064';0;during;2;creamfields
66;'768954591559950336';0;during;2;creamfields
68;'769410196535971840';1;during;2;creamfields
69;'769549059703107584';0;during;2;creamfields
71;'769597026267004928';0;during;2;creamfields
72;'769947988265463808';0;during;2;creamfields
73;'769667244712423424';0;during;2;creamfields
74;'769600440304558080';0;during;2;creamfields
75;'768712003254878208';0;during;2;creamfields
76;'769668181178941440';0;during;2;creamfields
77;'769472599923494912';1;during;2;creamfields
78;'768694924984410116';1;during;2;creamfields
79;'769650809328037888';0;during;2;creamfields
80;'769516916750811136';0;during;2;creamfields
81;'768690681430827008';1;during;2;creamfields
82;'769650157457698823';0;during;2;creamfields
83;'769833750075244544';0;during;2;creamfields
84;'769892011386236933';1;during;2;creamfields
85;'768926946256384001';0;during;2;creamfields
86;'769851489338654720';0;during;2;creamfields
87;'769913645526556672';1;during;2;creamfields
89;'769241446130024448';1;during;2;creamfields
92;'769608246768304128';0;during;2;creamfields
93;'769529930174562304';0;during;2;creamfields
95;'768920003668242432';0;during;2;creamfields
96;'769078918439731200';1;during;2;creamfields
97;'769640796874240001';0;during;2;creamfields
98;'768913027664150533';0;during;2;creamfields
99;'769273834658734083';0;during;2;creamfields
100;'769189016201814016';0;during;2;creamfields
101;'768705987683418112';0;during;2;creamfields
102;'769512943750901760';1;during;2;creamfields
105;'769590596466053124';0;during;2;creamfields
106;'768728575621079040';0;during;2;creamfields
108;'769117216524607492';0;during;2;creamfields
110;'769903871489703937';0;during;2;creamfields
111;'769288942395023360';0;during;2;creamfields
112;'769313028944920577';0;during;2;creamfields
114;'768972716745555968';0;during;2;creamfields
116;'768836084633575424';1;during;2;creamfields
117;'768827133242335232';0;during;2;creamfields
118;'769296241251520512';0;during;2;creamfields
121;'769534512925671425';0;during;2;creamfields
122;'769907013753208832';1;during;2;creamfields
124;'769483674744188928';0;during;2;creamfields
125;'768879681126952960';0;during;2;creamfields
130;'769822857446748160';0;during;2;creamfields
131;'769880432355774464';0;during;2;creamfields
132;'769258926567227392';0;during;2;creamfields
137;'768864974500466689';0;during;2;creamfields
139;'769634064802295809';1;during;2;creamfields
141;'768800340753969152';1;during;2;creamfields
143;'769281774165917696';1;during;2;creamfields
144;'769655755108679680';0;during;2;creamfields
146;'769849394917150720';0;during;2;creamfields
147;'769402764078280705';1;during;2;creamfields
148;'769714923270246400';1;during;2;creamfields
152;'769166228636262400';0;during;2;creamfields
155;'769930309601226753';0;during;2;creamfields
158;'769519391776079872';0;during;2;creamfields
159;'769738615236722689';1;during;2;creamfields
161;'769565184071503872';0;during;2;creamfields
164;'768862944713175040';1;during;2;creamfields
165;'768858759489810433';0;during;2;creamfields
166;'769493493232328704';0;during;2;creamfields
168;'769925019514306560';1;during;2;creamfields
169;'769125423124996096';0;during;2;creamfields
173;'769934881249857536';1;during;2;creamfields
178;'769295935679725568';0;during;2;creamfields
179;'768931128355020802';0;during;2;creamfields
183;'769817642693648384';1;during;2;creamfields
184;'770002964568219648';0;during;2;creamfields
185;'768802065128759296';0;during;2;creamfields
187;'769930963161747457';0;during;2;creamfields
188;'769270640616546305';0;during;2;creamfields
192;'769206825770254336';1;during;2;creamfields
193;'768761061323472896';1;during;2;creamfields
194;'768831870222106624';1;during;2;creamfields
197;'769097356226752512';0;during;2;creamfields
200;'768853056339533824';1;during;2;creamfields
202;'769321331963953152';0;during;2;creamfields
204;'769277701400174592';1;during;2;creamfields
205;'768770673540038657';0;during;2;creamfields
206;'768778705997008897';0;during;2;creamfields
207;'768687670042189824';1;during;2;creamfields
212;'768804512337461248';0;during;2;creamfields
214;'769302913063583744';1;during;2;creamfields
215;'768894872765988864';0;during;2;creamfields
216;'769049499570466816';0;during;2;creamfields
217;'769642815978627072';1;during;2;creamfields
218;'769121488121237504';0;during;2;creamfields
220;'769309964477300740';1;during;2;creamfields
221;'769525470857756678';0;during;2;creamfields
223;'769067808839835648';1;during;2;creamfields
224;'768939487955222528';0;during;2;creamfields
227;'769231119338397700';1;during;2;creamfields
228;'769301713375428609';0;during;2;creamfields
229;'769474760711495681';0;during;2;creamfields
233;'768918350546231296';0;during;2;creamfields
234;'769588493769138176';0;during;2;creamfields
235;'769080148230545408';0;during;2;creamfields
236;'769266464658456576';0;during;2;creamfields
237;'769383590694162432';0;during;2;creamfields
238;'769079205682438144';1;during;2;creamfields
241;'768938109803397120';1;during;2;creamfields
242;'768837268538793984';1;during;2;creamfields
244;'769990198721667072';1;during;2;creamfields
245;'768817204565516288';0;during;2;creamfields
246;'769104737492959234';1;during;2;creamfields
247;'769052874722709504';1;during;2;creamfields
249;'769538640720592896';0;during;2;creamfields
250;'769587801868337152';0;during;2;creamfields
251;'769654143527124992';0;during;2;creamfields
254;'769962202266759168';1;during;2;creamfields
255;'768714700817326080';0;during;2;creamfields
256;'770014699610144769';0;during;2;creamfields
258;'769568237625413632';0;during;2;creamfields
259;'770006539834908672';1;during;2;creamfields
260;'769273483884957698';1;during;2;creamfields
261;'769109687665033216';0;during;2;creamfields
262;'768970549217357824';0;during;2;creamfields
264;'768869872801550336';1;during;2;creamfields
266;'770009525747322883';0;during;2;creamfields
268;'769214825926918145';1;during;2;creamfields
269;'768998693001392128';0;during;2;creamfields
271;'769871526493560834';1;during;2;creamfields
273;'768710808536768516';0;during;2;creamfields
274;'769976593120976897';0;during;2;creamfields
276;'769664074951065600';0;during;2;creamfields
277;'769142524736831488';1;during;2;creamfields
278;'769280460610473985';0;during;2;creamfields
279;'768939707417985024';1;during;2;creamfields
281;'769528499908599808';0;during;2;creamfields
282;'768872058881241088';1;during;2;creamfields
283;'769945575940816896';1;during;2;creamfields
287;'769174357625151488';0;during;2;creamfields
295;'769093882176942080';1;during;2;creamfields
296;'769113555438301184';1;during;2;creamfields
297;'768767041981546496';0;during;2;creamfields
301;'769206189209116673';0;during;2;creamfields
302;'769919333791305728';1;during;2;creamfields
303;'769823955742027777';0;during;2;creamfields
306;'768907840509530112';0;during;2;creamfields
308;'769920331049897984';1;during;2;creamfields
310;'768697282959204352';0;during;2;creamfields
315;'769728300587618308';1;during;2;creamfields
319;'769504709119967232';0;during;2;creamfields
321;'769512196917395456';0;during;2;creamfields
322;'768696289894727680';0;during;2;creamfields
325;'769509064929841152';0;during;2;creamfields
328;'769967441413804032';0;during;2;creamfields
330;'769084236150235140';1;during;2;creamfields
334;'768763047561289729';0;during;2;creamfields
336;'768860938900480002';0;during;2;creamfields
340;'769648528314556417';0;during;2;creamfields
341;'769607942354137088';0;during;2;creamfields
344;'769587986107293699';0;during;2;creamfields
350;'768885982317973504';1;during;2;creamfields
354;'769502568015953920';0;during;2;creamfields
357;'769090891084627969';0;during;2;creamfields
359;'768999253200998400';1;during;2;creamfields
364;'769313669972893697';0;during;2;creamfields
365;'769816016604033024';1;during;2;creamfields
